occurrenceID,measurementType,measurementValue,measurementRemarks
ed6bec44-9e95-4603-ad32-fdfd960dae85,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
83657d19-794a-4913-b0ee-3a62317887ab,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
b1669370-ad03-46d7-9cd6-b26b138f2c00,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
dbe26029-5d24-4fad-b90c-6a0f0fedc034,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
e5fe92c1-68ba-41dc-ba98-755c4338fe30,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
efc6d4e5-17a8-4b26-922b-7a0508758d17,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
a9df6fb0-d791-4e2c-90a4-f9471aa17a53,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
a75e558b-5e6a-43c8-9ae8-ebb398864890,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
8a5b8d70-66ff-463f-8ed8-cac00e7b0176,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
3f1ec80b-d362-4436-904f-037172c09905,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
ff9c8a3e-dceb-4aee-9140-bcdfd02592a3,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
00190c35-1aed-4e75-92fe-375be76f50fd,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
b981010b-0684-40ae-8cd4-061381247cc5,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
c1d8b7da-41c2-49aa-aad3-0182732ba094,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
4207adc1-452a-4ca9-bc37-44aae752c776,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
24d47c8e-8f7d-409a-80f8-558123bcee36,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
326837e5-f3b4-49c4-a4e5-84a9aee0722c,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
885051d4-1c50-495a-8cdf-607866be7f3e,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
f952770a-d51b-451a-8dce-900867a29ac3,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
9d8b88b2-7ca3-4bed-af14-dd8ffd815e08,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
a6c96338-38c3-475b-9c34-5bbb13c9f8a0,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
19455361-ecd7-4baf-a607-bac8d85ddba7,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
0420fab3-3d9b-4aaa-b122-eca4887a032e,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
a772a629-9e6d-4f36-80bd-1327052191e8,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
46908b34-52d4-4719-9175-72d806288f05,seasonalIndicator,Predicts danger — predators or strangers approaching,"A sentinel species; its alarm-like call is read as a warning of approaching danger, whether predator or unfamiliar person"
ae61c6a6-594d-4ca0-a4ce-e7ce1c7ba637,seasonalIndicator,Predicts danger — predators or strangers approaching,"A sentinel species; its alarm-like call is read as a warning of approaching danger, whether predator or unfamiliar person"
3d8e5a7a-c839-435f-a422-d0991a56328d,seasonalIndicator,Predicts danger — predators or strangers approaching,"A sentinel species; its alarm-like call is read as a warning of approaching danger, whether predator or unfamiliar person"
93239f8b-1254-43e5-827d-1462b95baba5,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
ebccdf77-e6b5-4ad3-bace-6c89998bb432,seasonalIndicator,Predicts rain — the rains are within days,"Like the Lesser Masked Weaver, its call is a recognized short-range rain forecast; Jacobin/Pied Cuckoos are also known intra-African rain-linked migrants"
74b63473-0fb1-4a7e-8867-ea2e9812b058,seasonalIndicator,Predicts danger — predators or strangers approaching,"A sentinel species; its alarm-like call is read as a warning of approaching danger, whether predator or unfamiliar person"
cc9807c9-8bfc-432d-853f-e875edb88ce0,seasonalIndicator,Predicts danger — predators or strangers approaching,"A sentinel species; its alarm-like call is read as a warning of approaching danger, whether predator or unfamiliar person"
ae02c14c-3ed4-43b9-ac40-23ff342f20ba,seasonalIndicator,Predicts danger — predators or strangers approaching,"A sentinel species; its alarm-like call is read as a warning of approaching danger, whether predator or unfamiliar person"
4859ace7-42cc-4815-93bd-560277b3e4f1,seasonalIndicator,Predicts danger — predators or strangers approaching,"A sentinel species; its alarm-like call is read as a warning of approaching danger, whether predator or unfamiliar person"
629ea87d-3bbb-4775-871b-df4c8521af95,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
123cbdd5-a5a3-43c9-8d5f-a7d517f2b384,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
b1c9b97b-dc6d-4413-86e8-cdd8ed174a2d,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
e91d95b8-e3de-400f-8d26-7e463b14feaf,seasonalIndicator,Predicts rain — the rains are within days,A trusted short-range rain forecast in Samburu oral knowledge; increased calling/activity is read as an imminent-rain signal
